AG.LND.AGRI.K2	Agricultural land (sq. km)
SH.STA.HYGN.RU.ZS	People with basic handwashing facilities including soap and water, rural (% of rural population)
SH.STA.HYGN.UR.ZS	People with basic handwashing facilities including soap and water, urban (% of urban population)
SH.STA.HYGN.ZS	People with basic handwashing facilities including soap and water (% of population)
SH.STA.MALN.FE.ZS	Prevalence of underweight, weight for age, female (% of children under 5)
SH.STA.MALN.MA.ZS	Prevalence of underweight, weight for age, male (% of children under 5)
SH.STA.MALN.ZS	Prevalence of underweight, weight for age (% of children under 5)
SH.STA.MMRT	Maternal mortality ratio (modeled estimate, per 100,000 live births)
SH.STA.MMRT.NE	Maternal mortality ratio (national estimate, per 100,000 live births)
SH.STA.ODFC.RU.ZS	People practicing open defecation, rural (% of rural population)
SH.STA.ODFC.UR.ZS	People practicing open defecation, urban (% of urban population)
SH.STA.ODFC.ZS	People practicing open defecation (% of population)
SH.STA.POIS.P5	Mortality rate attributed to unintentional poisoning (per 100,000 population)
SH.STA.POIS.P5.FE	Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)
SH.STA.POIS.P5.MA	Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)
SH.STA.SMSS.RU.ZS	People using safely managed sanitation services, rural (% of rural population)
SH.STA.SMSS.UR.ZS	People using safely managed sanitation services, urban (% of urban population)
SH.STA.SMSS.ZS	People using safely managed sanitation services (% of population)
SH.STA.STNT.ZS	Prevalence of stunting, height for age (% of children under 5)
SH.STA.TRAF.P5	Mortality caused by road traffic injury (per 100,000 people)
SH.STA.WASH.P5	Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)
SH.TBS.INCD	Incidence of tuberculosis (per 100,000 people)
SI.DST.FRST.20	Income share held by lowest 20%
SI.POV.DDAY	Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)
SI.POV.RUGP	Rural poverty gap at national poverty lines (%)
SI.POV.RUHC	Rural poverty headcount ratio at national poverty lines (% of rural population)
SI.POV.URGP	Urban poverty gap at national poverty lines (%)
SI.POV.URHC	Urban poverty headcount ratio at national poverty lines (% of urban population)
SL.AGR.0714.FE.ZS	Child employment in agriculture, female (% of female economically active children ages 7-14)
SL.AGR.0714.MA.ZS	Child employment in agriculture, male (% of male economically active children ages 7-14)
SL.AGR.EMPL.FE.ZS	Employment in agriculture, female (% of female employment) (modeled ILO estimate)
SL.AGR.EMPL.MA.ZS	Employment in agriculture, male (% of male employment) (modeled ILO estimate)
SL.AGR.EMPL.ZS	Employment in agriculture (% of total employment) (modeled ILO estimate)
SL.EMP.1524.SP.FE.ZS	Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)
SL.EMP.1524.SP.MA.ZS	Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)
SL.EMP.INSV.FE.ZS	Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)
SL.EMP.MPYR.FE.ZS	Employers, female (% of female employment) (modeled ILO estimate)
SL.EMP.MPYR.MA.ZS	Employers, male (% of male employment) (modeled ILO estimate)
SL.EMP.SELF.FE.ZS	Self-employed, female (% of female employment) (modeled ILO estimate)
SL.EMP.SELF.MA.ZS	Self-employed, male (% of male employment) (modeled ILO estimate)
SL.EMP.TOTL.SP.FE.ZS	Employment to population ratio, 15+, female (%) (modeled ILO estimate)
SL.EMP.TOTL.SP.MA.ZS	Employment to population ratio, 15+, male (%) (modeled ILO estimate)
SL.EMP.VULN.FE.ZS	Vulnerable employment, female (% of female employment) (modeled ILO estimate)
SL.EMP.VULN.MA.ZS	Vulnerable employment, male (% of male employment) (modeled ILO estimate)
SL.EMP.VULN.ZS	Vulnerable employment, total (% of total employment) (modeled ILO estimate)
SL.EMP.WORK.FE.ZS	Wage and salaried workers, female (% of female employment) (modeled ILO estimate)
SL.EMP.WORK.MA.ZS	Wage and salaried workers, male (% of male employment) (modeled ILO estimate)
SL.FAM.WORK.FE.ZS	Contributing family workers, female (% of female employment) (modeled ILO estimate)
SL.FAM.WORK.MA.ZS	Contributing family workers, male (% of male employment) (modeled ILO estimate)
SL.IND.EMPL.FE.ZS	Employment in industry, female (% of female employment) (modeled ILO estimate)
SL.IND.EMPL.MA.ZS	Employment in industry, male (% of male employment) (modeled ILO estimate)
SL.MNF.0714.FE.ZS	Child employment in manufacturing, female (% of female economically active children ages 7-14)
SL.MNF.0714.MA.ZS	Child employment in manufacturing, male (% of male economically active children ages 7-14)
SL.MNF.WAGE.FM	Ratio of female to male wages in manufacturing (%)
SL.SRV.0714.FE.ZS	Child employment in services, female (% of female economically active children ages 7-14)
SL.SRV.0714.MA.ZS	Child employment in services, male (% of male economically active children ages 7-14)
SL.SRV.EMPL.FE.ZS	Employment in services, female (% of female employment) (modeled ILO estimate)
SL.SRV.EMPL.MA.ZS	Employment in services, male (% of male employment) (modeled ILO estimate)
SL.TLF.0714.FE.ZS	Children in employment, female (% of female children ages 7-14)
SL.TLF.0714.MA.ZS	Children in employment, male (% of male children ages 7-14)
SL.TLF.0714.SW.FE.ZS	Children in employment, study and work, female (% of female children in employment, ages 7-14)
SL.TLF.0714.SW.MA.ZS	Children in employment, study and work, male (% of male children in employment, ages 7-14)
SL.TLF.0714.SW.ZS	Children in employment, study and work (% of children in employment, ages 7-14)
SL.TLF.0714.WK.FE.ZS	Children in employment, work only, female (% of female children in employment, ages 7-14)
SL.TLF.0714.WK.MA.ZS	Children in employment, work only, male (% of male children in employment, ages 7-14)
SL.TLF.0714.WK.ZS	Children in employment, work only (% of children in employment, ages 7-14)
SL.TLF.0714.ZS	Children in employment, total (% of children ages 7-14)
SL.TLF.ACTI.1524.FE.ZS	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)
SL.TLF.ACTI.1524.MA.ZS	Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)
SL.TLF.ACTI.1524.ZS	Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)
SL.TLF.ACTI.FE.ZS	Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)
SL.TLF.ACTI.MA.ZS	Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)
SL.TLF.ACTI.ZS	Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)
SL.TLF.CACT.FE.ZS	Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)
SL.TLF.CACT.MA.ZS	Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)
SL.TLF.PART.FE.ZS	Part time employment, female (% of total female employment)
SL.TLF.PART.MA.ZS	Part time employment, male (% of total male employment)
SL.TLF.PART.TL.FE.ZS	Part time employment, female (% of total part time employment)
SL.TLF.PRIM.FE.ZS	Labor force with primary education, female (% of female labor force)
SL.TLF.PRIM.MA.ZS	Labor force with primary education, male (% of male labor force)
SL.TLF.PRIM.ZS	Labor force with primary education (% of total)
SL.TLF.SECO.FE.ZS	Labor force with secondary education, female (% of female labor force)
SL.TLF.SECO.MA.ZS	Labor force with secondary education, male (% of male labor force)
SL.TLF.SECO.ZS	Labor force with secondary education (% of total)
SL.TLF.TERT.FE.ZS	Labor force with tertiary education, female (% of female labor force)
SL.TLF.TERT.MA.ZS	Labor force with tertiary education, male (% of male labor force)
SL.TLF.TERT.ZS	Labor force with tertiary education (% of total)
SL.TLF.TOTL.FE.ZS	Labor force, female (% of total labor force)
SL.TLF.TOTL.IN	Labor force, total
SL.UEM.1524.FE.ZS	Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)
SL.UEM.1524.MA.ZS	Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)
SL.UEM.LTRM.FE.ZS	Long-term unemployment, female (% of female unemployment)
SL.UEM.LTRM.MA.ZS	Long-term unemployment, male (% of male unemployment)
SL.UEM.PRIM.FE.ZS	Unemployment with primary education, female (% of female unemployment)
SL.UEM.PRIM.MA.ZS	Unemployment with primary education, male (% of male unemployment)
SL.UEM.SECO.FE.ZS	Unemployment with secondary education, female (% of female unemployment)
SL.UEM.SECO.MA.ZS	Unemployment with secondary education, male (% of male unemployment)
SL.UEM.TERT.FE.ZS	Unemployment with tertiary education, female (% of female unemployment)
SL.UEM.TERT.MA.ZS	Unemployment with tertiary education, male (% of male unemployment)
SL.UEM.TOTL.FE.ZS	Unemployment, female (% of female labor force) (modeled ILO estimate)
SL.UEM.TOTL.MA.ZS	Unemployment, male (% of male labor force) (modeled ILO estimate)
SL.UEM.TOTL.ZS	Unemployment, total (% of total labor force) (modeled ILO estimate)
SM.EMI.TERT.ZS	Emigration rate of tertiary educated (% of total tertiary educated population)
SM.POP.NETM	Net migration
SM.POP.REFG	Refugee population by country or territory of asylum
SM.POP.REFG.OR	Refugee population by country or territory of origin
SM.POP.TOTL	International migrant stock, total
SM.POP.TOTL.ZS	International migrant stock (% of population)
SP.ADO.TFRT	Adolescent fertility rate (births per 1,000 women ages 15-19)
SP.DYN.AMRT.FE	Mortality rate, adult, female (per 1,000 female adults)
SP.DYN.AMRT.MA	Mortality rate, adult, male (per 1,000 male adults)
SP.DYN.CONU.ZS	Contraceptive prevalence, any methods (% of women ages 15-49)
SP.DYN.LE00.FE.IN	Life expectancy at birth, female (years)
SP.DYN.LE00.MA.IN	Life expectancy at birth, male (years)
SP.DYN.TFRT.IN	Fertility rate, total (births per woman)
SP.DYN.TO65.FE.ZS	Survival to age 65, female (% of cohort)
SP.DYN.TO65.MA.ZS	Survival to age 65, male (% of cohort)
SP.DYN.WFRT	Wanted fertility rate (births per woman)
SP.HOU.FEMA.ZS	Female headed households (% of households with a female head)
SP.M15.2024.FE.ZS	Women who were first married by age 15 (% of women ages 20-24)
SP.M18.2024.FE.ZS	Women who were first married by age 18 (% of women ages 20-24)
SP.MTR.1519.ZS	Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)
SP.POP.0014.TO.ZS	Population ages 0-14 (% of total)
SP.POP.1564.TO.ZS	Population ages 15-64 (% of total)
SP.POP.GROW	Population growth (annual %)
SP.POP.TOTL	Population, total
SP.URB.GROW	Urban population growth (annual %)
SP.URB.TOTL	Urban population
SP.URB.TOTL.IN.ZS	Urban population (% of total)
ST.INT.ARVL	International tourism, number of arrivals
ST.INT.DPRT	International tourism, number of departures
ST.INT.RCPT.CD	International tourism, receipts (current US$)
ST.INT.RCPT.XP.ZS	International tourism, receipts (% of total exports)
ST.INT.TRNR.CD	International tourism, receipts for passenger transport items (current US$)
ST.INT.TRNX.CD	International tourism, expenditures for passenger transport items (current US$)
ST.INT.TVLR.CD	International tourism, receipts for travel items (current US$)
ST.INT.TVLX.CD	International tourism, expenditures for travel items (current US$)
ST.INT.XPND.CD	International tourism, expenditures (current US$)
ST.INT.XPND.MP.ZS	International tourism, expenditures (% of total imports)
TG.VAL.TOTL.GD.ZS	Merchandise trade (% of GDP)
TM.QTY.MRCH.XD.WD	Import volume index (2000 = 100)
TM.TAX.MANF.BC.ZS	Binding coverage, manufactured products (%)
TM.TAX.MANF.BR.ZS	Bound rate, simple mean, manufactured products (%)
TM.TAX.MANF.IP.ZS	Share of tariff lines with international peaks, manufactured products (%)
TM.TAX.MANF.SM.AR.ZS	Tariff rate, applied, simple mean, manufactured products (%)
TM.TAX.MANF.SM.FN.ZS	Tariff rate, most favored nation, simple mean, manufactured products (%)
TM.TAX.MANF.SR.ZS	Share of tariff lines with specific rates, manufactured products (%)
TM.TAX.MANF.WM.AR.ZS	Tariff rate, applied, weighted mean, manufactured products (%)
TM.TAX.MANF.WM.FN.ZS	Tariff rate, most favored nation, weighted mean, manufactured products (%)
TM.TAX.MRCH.BC.ZS	Binding coverage, all products (%)
TM.TAX.MRCH.BR.ZS	Bound rate, simple mean, all products (%)
TM.TAX.MRCH.IP.ZS	Share of tariff lines with international peaks, all products (%)
TM.TAX.MRCH.SM.AR.ZS	Tariff rate, applied, simple mean, all products (%)
TM.TAX.MRCH.SM.FN.ZS	Tariff rate, most favored nation, simple mean, all products (%)
TM.TAX.MRCH.SR.ZS	Share of tariff lines with specific rates, all products (%)
TM.TAX.MRCH.WM.AR.ZS	Tariff rate, applied, weighted mean, all products (%)
TM.TAX.MRCH.WM.FN.ZS	Tariff rate, most favored nation, weighted mean, all products (%)
TM.TAX.TCOM.BC.ZS	Binding coverage, primary products (%)
TM.TAX.TCOM.BR.ZS	Bound rate, simple mean, primary products (%)
TM.TAX.TCOM.IP.ZS	Share of tariff lines with international peaks, primary products (%)
TM.TAX.TCOM.SM.AR.ZS	Tariff rate, applied, simple mean, primary products (%)
TM.TAX.TCOM.SM.FN.ZS	Tariff rate, most favored nation, simple mean, primary products (%)
TM.TAX.TCOM.SR.ZS	Share of tariff lines with specific rates, primary products (%)
TM.TAX.TCOM.WM.AR.ZS	Tariff rate, applied, weighted mean, primary products (%)
TM.TAX.TCOM.WM.FN.ZS	Tariff rate, most favored nation, weighted mean, primary products (%)
TM.VAL.AGRI.ZS.UN	Agricultural raw materials imports (% of merchandise imports)
TM.VAL.FOOD.ZS.UN	Food imports (% of merchandise imports)
TM.VAL.FUEL.ZS.UN	Fuel imports (% of merchandise imports)
TM.VAL.ICTG.ZS.UN	ICT goods imports (% total goods imports)
TM.VAL.INSF.ZS.WT	Insurance and financial services (% of commercial service imports)
TM.VAL.MANF.ZS.UN	Manufactures imports (% of merchandise imports)
TM.VAL.MMTL.ZS.UN	Ores and metals imports (% of merchandise imports)
TM.VAL.MRCH.AL.ZS	Merchandise imports from economies in the Arab World (% of total merchandise imports)
TM.VAL.MRCH.CD.WT	Merchandise imports (current US$)
TM.VAL.MRCH.HI.ZS	Merchandise imports from high-income economies (% of total merchandise imports)
TM.VAL.MRCH.OR.ZS	Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports)
TM.VAL.MRCH.R1.ZS	Merchandise imports from low- and middle-income economies in East Asia &amp; Pacific (% of total merchandise imports)
TM.VAL.MRCH.R2.ZS	Merchandise imports from low- and middle-income economies in Europe &amp; Central Asia (% of total merchandise imports)
TM.VAL.MRCH.R3.ZS	Merchandise imports from low- and middle-income economies in Latin America &amp; the Caribbean (% of total merchandise imports)
TM.VAL.MRCH.R4.ZS	Merchandise imports from low- and middle-income economies in Middle East &amp; North Africa (% of total merchandise imports)
TM.VAL.MRCH.R5.ZS	Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports)
TM.VAL.MRCH.R6.ZS	Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports)
TM.VAL.MRCH.RS.ZS	Merchandise imports by the reporting economy, residual (% of total merchandise imports)
TM.VAL.MRCH.WL.CD	Merchandise imports by the reporting economy (current US$)
TM.VAL.MRCH.WR.ZS	Merchandise imports from low- and middle-income economies within region (% of total merchandise imports)
TM.VAL.MRCH.XD.WD	Import value index (2000 = 100)
TM.VAL.OTHR.ZS.WT	Computer, communications and other services (% of commercial service imports)
TM.VAL.SERV.CD.WT	Commercial service imports (current US$)
TM.VAL.TRAN.ZS.WT	Transport services (% of commercial service imports)
TM.VAL.TRVL.ZS.WT	Travel services (% of commercial service imports)
TT.PRI.MRCH.XD.WD	Net barter terms of trade index (2000 = 100)
TX.QTY.MRCH.XD.WD	Export volume index (2000 = 100)
TX.VAL.AGRI.ZS.UN	Agricultural raw materials exports (% of merchandise exports)
TX.VAL.FOOD.ZS.UN	Food exports (% of merchandise exports)
TX.VAL.FUEL.ZS.UN	Fuel exports (% of merchandise exports)
TX.VAL.ICTG.ZS.UN	ICT goods exports (% of total goods exports)
TX.VAL.INSF.ZS.WT	Insurance and financial services (% of commercial service exports)
TX.VAL.MANF.ZS.UN	Manufactures exports (% of merchandise exports)
TX.VAL.MMTL.ZS.UN	Ores and metals exports (% of merchandise exports)
TX.VAL.MRCH.AL.ZS	Merchandise exports to economies in the Arab World (% of total merchandise exports)
TX.VAL.MRCH.CD.WT	Merchandise exports (current US$)
TX.VAL.MRCH.HI.ZS	Merchandise exports to high-income economies (% of total merchandise exports)
TX.VAL.MRCH.OR.ZS	Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)
TX.VAL.MRCH.R1.ZS	Merchandise exports to low- and middle-income economies in East Asia &amp; Pacific (% of total merchandise exports)
TX.VAL.MRCH.R2.ZS	Merchandise exports to low- and middle-income economies in Europe &amp; Central Asia (% of total merchandise exports)
TX.VAL.MRCH.R3.ZS	Merchandise exports to low- and middle-income economies in Latin America &amp; the Caribbean (% of total merchandise exports)
TX.VAL.MRCH.R4.ZS	Merchandise exports to low- and middle-income economies in Middle East &amp; North Africa (% of total merchandise exports)
TX.VAL.MRCH.R5.ZS	Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)
TX.VAL.MRCH.R6.ZS	Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)
TX.VAL.MRCH.RS.ZS	Merchandise exports by the reporting economy, residual (% of total merchandise exports)
TX.VAL.MRCH.WL.CD	Merchandise exports by the reporting economy (current US$)
TX.VAL.MRCH.WR.ZS	Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)
TX.VAL.MRCH.XD.WD	Export value index (2000 = 100)
TX.VAL.OTHR.ZS.WT	Computer, communications and other services (% of commercial service exports)
TX.VAL.SERV.CD.WT	Commercial service exports (current US$)
TX.VAL.TECH.CD	High-technology exports (current US$)
TX.VAL.TECH.MF.ZS	High-technology exports (% of manufactured exports)
TX.VAL.TRAN.ZS.WT	Transport services (% of commercial service exports)
TX.VAL.TRVL.ZS.WT	Travel services (% of commercial service exports)
WP15163_4.2	Mobile account, male (% age 15+) [w2]
WP15163_4.3	Mobile account, female (% age 15+) [w2]
WP_time_01.2	Account at a financial institution, male (% age 15+) [ts]
WP_time_01.3	Account at a financial institution, female (% age 15+) [ts]
